id,term,category,synonyms,icd11_tm2_code,references,description
SI2360,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI7164,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
SI2361,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI10440,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
SI2362,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI12917,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2363,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI9949,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
UN2364,Nazla,Unani Disease,"Catarrh,Coryza",TM2-UN10123,Canon of Medicine,A condition of Catarrh characterized by Coryza in Unani Disease context.
UN2365,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN14828,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
UN2366,Niqras,Unani Disease,"Gout,Podagra",TM2-UN6254,Canon of Medicine,A condition of Gout characterized by Podagra in Unani Disease context.
SI2367,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI9714,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
HO2368,Ignatia State,Homeopathic Indication,"Grief,Hysteria",TM2-HO2938,Organon of Medicine,A condition of Grief characterized by Hysteria in Homeopathic Indication context.
SI2369,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI7708,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
UN2370,Zukan,Unani Disease,"Common Cold,Running nose",TM2-UN9750,Canon of Medicine,A condition of Common Cold characterized by Running nose in Unani Disease context.
UN2371,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN5608,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
HO2372,Silicea Profile,Homeopathic Indication,"Suppuration,Lack of grit",TM2-HO16907,Organon of Medicine,A condition of Suppuration characterized by Lack of grit in Homeopathic Indication context.
SI2373,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI12393,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
YO2374,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO6949,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
YO2375,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO3043,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
SI2376,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI4118,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
UN2377,War-e-Kabid,Unani Disease,"Hepatitis,Liver inflammation",TM2-UN6461,Canon of Medicine,A condition of Hepatitis characterized by Liver inflammation in Unani Disease context.
SI2378,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI2752,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
HO2379,Bryonia State,Homeopathic Indication,"Dry Cough,Worse motion",TM2-HO8594,Organon of Medicine,A condition of Dry Cough characterized by Worse motion in Homeopathic Indication context.
SI2380,Kuruthi Azhal,Siddha Condition,"Hypertension,High BP",TM2-SI9541,Siddha Materia Medica,A condition of Hypertension characterized by High BP in Siddha Condition context.
AY2381,Ashmari,Ayurvedic Disease,"Calculus,Stones",TM2-AY12216,Charaka Samhita,A condition of Calculus characterized by Stones in Ayurvedic Disease context.
AY2382,Unmada,Ayurvedic Disease,"Insanity,Psychosis",TM2-AY6374,Charaka Samhita,A condition of Insanity characterized by Psychosis in Ayurvedic Disease context.
YO2383,Meditation Focus,Yoga Therapy,"Dhyana,Concentration",TM2-YO8727,Yoga Sutras,A condition of Dhyana characterized by Concentration in Yoga Therapy context.
YO2384,Weight Reduction,Yoga Therapy,"Obesity,Fat loss",TM2-YO4855,Yoga Sutras,A condition of Obesity characterized by Fat loss in Yoga Therapy context.
HO2385,Lycopodium Profile,Homeopathic Indication,"Liver trouble,Right side",TM2-HO9877,Organon of Medicine,A condition of Liver trouble characterized by Right side in Homeopathic Indication context.
AY2386,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY11335,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
HO2387,Lycopodium Profile,Homeopathic Indication,"Liver trouble,Right side",TM2-HO12596,Organon of Medicine,A condition of Liver trouble characterized by Right side in Homeopathic Indication context.
AY2388,Arsha,Ayurvedic Disease,"Hemorrhoids,Piles",TM2-AY8186,Charaka Samhita,A condition of Hemorrhoids characterized by Piles in Ayurvedic Disease context.
HO2389,Silicea Profile,Homeopathic Indication,"Suppuration,Lack of grit",TM2-HO2466,Organon of Medicine,A condition of Suppuration characterized by Lack of grit in Homeopathic Indication context.
YO2390,Weight Reduction,Yoga Therapy,"Obesity,Fat loss",TM2-YO8371,Yoga Sutras,A condition of Obesity characterized by Fat loss in Yoga Therapy context.
HO2391,Gelsemium,Homeopathic Indication,"Flu,Dullness",TM2-HO11160,Organon of Medicine,A condition of Flu characterized by Dullness in Homeopathic Indication context.
YO2392,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO8962,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
YO2393,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO10749,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
UN2394,Khafaqan,Unani Disease,"Palpitation,Heart flutter",TM2-UN6884,Canon of Medicine,A condition of Palpitation characterized by Heart flutter in Unani Disease context.
HO2395,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO14322,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
UN2396,Waj-ul-Mafasil,Unani Disease,"Joint Pain,Arthritis",TM2-UN3635,Canon of Medicine,A condition of Joint Pain characterized by Arthritis in Unani Disease context.
AY2397,Ashmari,Ayurvedic Disease,"Calculus,Stones",TM2-AY10451,Charaka Samhita,A condition of Calculus characterized by Stones in Ayurvedic Disease context.
SI2398,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI3594,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
SI2399,Kuruthi Azhal,Siddha Condition,"Hypertension,High BP",TM2-SI14137,Siddha Materia Medica,A condition of Hypertension characterized by High BP in Siddha Condition context.
HO2400,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO13207,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
SI2401,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI11866,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
UN2402,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN16207,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
AY2403,Ashmari,Ayurvedic Disease,"Calculus,Stones",TM2-AY3424,Charaka Samhita,A condition of Calculus characterized by Stones in Ayurvedic Disease context.
SI2404,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI7044,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
AY2405,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY12275,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
UN2406,Ziabetus,Unani Disease,"Diabetes,High blood sugar",TM2-UN7308,Canon of Medicine,A condition of Diabetes characterized by High blood sugar in Unani Disease context.
HO2407,Pulsatilla Profile,Homeopathic Indication,"Weepiness,Changeable",TM2-HO9600,Organon of Medicine,A condition of Weepiness characterized by Changeable in Homeopathic Indication context.
AY2408,Amavata,Ayurvedic Disease,"Rheumatoid Arthritis,Joint swelling",TM2-AY4437,Charaka Samhita,A condition of Rheumatoid Arthritis characterized by Joint swelling in Ayurvedic Disease context.
SI2409,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI8239,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
UN2410,Laqwa,Unani Disease,"Facial Palsy,Face paralysis",TM2-UN17246,Canon of Medicine,A condition of Facial Palsy characterized by Face paralysis in Unani Disease context.
SI2411,NeerizoVu,Siddha Condition,"Diabetes,Sweet urine",TM2-SI2525,Siddha Materia Medica,A condition of Diabetes characterized by Sweet urine in Siddha Condition context.
YO2412,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO12953,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
SI2413,Kuruthi Azhal,Siddha Condition,"Hypertension,High BP",TM2-SI5199,Siddha Materia Medica,A condition of Hypertension characterized by High BP in Siddha Condition context.
SI2414,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI10050,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
UN2415,Khafaqan,Unani Disease,"Palpitation,Heart flutter",TM2-UN7147,Canon of Medicine,A condition of Palpitation characterized by Heart flutter in Unani Disease context.
YO2416,Back Pain Management,Yoga Therapy,"Lumbar Spondylosis,Spine care",TM2-YO4384,Yoga Sutras,A condition of Lumbar Spondylosis characterized by Spine care in Yoga Therapy context.
YO2417,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO11833,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
AY2418,Shwasa,Ayurvedic Disease,"Asthma,Breathing difficulty",TM2-AY13296,Charaka Samhita,A condition of Asthma characterized by Breathing difficulty in Ayurvedic Disease context.
AY2419,Unmada,Ayurvedic Disease,"Insanity,Psychosis",TM2-AY8759,Charaka Samhita,A condition of Insanity characterized by Psychosis in Ayurvedic Disease context.
HO2420,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO8626,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
HO2421,Pulsatilla Profile,Homeopathic Indication,"Weepiness,Changeable",TM2-HO2004,Organon of Medicine,A condition of Weepiness characterized by Changeable in Homeopathic Indication context.
SI2422,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI8931,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
HO2423,Ignatia State,Homeopathic Indication,"Grief,Hysteria",TM2-HO1636,Organon of Medicine,A condition of Grief characterized by Hysteria in Homeopathic Indication context.
AY2424,Hridroga,Ayurvedic Disease,"Heart Disease,Cardiac disorder",TM2-AY8756,Charaka Samhita,A condition of Heart Disease characterized by Cardiac disorder in Ayurvedic Disease context.
AY2425,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY12861,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
SI2426,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI6052,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
AY2427,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY2885,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
AY2428,Unmada,Ayurvedic Disease,"Insanity,Psychosis",TM2-AY11430,Charaka Samhita,A condition of Insanity characterized by Psychosis in Ayurvedic Disease context.
SI2429,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI8313,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
SI2430,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI15351,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
YO2431,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO2131,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
UN2432,Laqwa,Unani Disease,"Facial Palsy,Face paralysis",TM2-UN5678,Canon of Medicine,A condition of Facial Palsy characterized by Face paralysis in Unani Disease context.
UN2433,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN3604,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
UN2434,Nazla,Unani Disease,"Catarrh,Coryza",TM2-UN6555,Canon of Medicine,A condition of Catarrh characterized by Coryza in Unani Disease context.
SI2435,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI19327,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
AY2436,Unmada,Ayurvedic Disease,"Insanity,Psychosis",TM2-AY5098,Charaka Samhita,A condition of Insanity characterized by Psychosis in Ayurvedic Disease context.
AY2437,Ashmari,Ayurvedic Disease,"Calculus,Stones",TM2-AY15342,Charaka Samhita,A condition of Calculus characterized by Stones in Ayurvedic Disease context.
SI2438,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI14302,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
UN2439,Zukan,Unani Disease,"Common Cold,Running nose",TM2-UN8134,Canon of Medicine,A condition of Common Cold characterized by Running nose in Unani Disease context.
SI2440,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI16802,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2441,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI7212,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
SI2442,NeerizoVu,Siddha Condition,"Diabetes,Sweet urine",TM2-SI5794,Siddha Materia Medica,A condition of Diabetes characterized by Sweet urine in Siddha Condition context.
AY2443,Kamala,Ayurvedic Disease,"Jaundice,Icterus",TM2-AY8759,Charaka Samhita,A condition of Jaundice characterized by Icterus in Ayurvedic Disease context.
SI2444,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI17271,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
HO2445,Bryonia State,Homeopathic Indication,"Dry Cough,Worse motion",TM2-HO6438,Organon of Medicine,A condition of Dry Cough characterized by Worse motion in Homeopathic Indication context.
SI2446,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI15074,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
YO2447,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO4562,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
SI2448,NeerizoVu,Siddha Condition,"Diabetes,Sweet urine",TM2-SI6190,Siddha Materia Medica,A condition of Diabetes characterized by Sweet urine in Siddha Condition context.
AY2449,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY10202,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
SI2450,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI5786,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
UN2451,Ziabetus,Unani Disease,"Diabetes,High blood sugar",TM2-UN3516,Canon of Medicine,A condition of Diabetes characterized by High blood sugar in Unani Disease context.
YO2452,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO12074,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
UN2453,War-e-Kabid,Unani Disease,"Hepatitis,Liver inflammation",TM2-UN5042,Canon of Medicine,A condition of Hepatitis characterized by Liver inflammation in Unani Disease context.
SI2454,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI9047,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
UN2455,War-e-Kabid,Unani Disease,"Hepatitis,Liver inflammation",TM2-UN8249,Canon of Medicine,A condition of Hepatitis characterized by Liver inflammation in Unani Disease context.
SI2456,NeerizoVu,Siddha Condition,"Diabetes,Sweet urine",TM2-SI11166,Siddha Materia Medica,A condition of Diabetes characterized by Sweet urine in Siddha Condition context.
HO2457,Ignatia State,Homeopathic Indication,"Grief,Hysteria",TM2-HO2460,Organon of Medicine,A condition of Grief characterized by Hysteria in Homeopathic Indication context.
SI2458,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI1626,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
AY2459,Arsha,Ayurvedic Disease,"Hemorrhoids,Piles",TM2-AY1999,Charaka Samhita,A condition of Hemorrhoids characterized by Piles in Ayurvedic Disease context.
SI2460,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI2583,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
HO2461,Pulsatilla Profile,Homeopathic Indication,"Weepiness,Changeable",TM2-HO5732,Organon of Medicine,A condition of Weepiness characterized by Changeable in Homeopathic Indication context.
AY2462,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY13749,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
YO2463,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO5459,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
UN2464,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN8858,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
HO2465,Lycopodium Profile,Homeopathic Indication,"Liver trouble,Right side",TM2-HO5728,Organon of Medicine,A condition of Liver trouble characterized by Right side in Homeopathic Indication context.
HO2466,Ignatia State,Homeopathic Indication,"Grief,Hysteria",TM2-HO3405,Organon of Medicine,A condition of Grief characterized by Hysteria in Homeopathic Indication context.
SI2467,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI9586,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
UN2468,Zof-e-Bah,Unani Disease,"Sexual Debility,Weakness",TM2-UN7149,Canon of Medicine,A condition of Sexual Debility characterized by Weakness in Unani Disease context.
AY2469,Amavata,Ayurvedic Disease,"Rheumatoid Arthritis,Joint swelling",TM2-AY9067,Charaka Samhita,A condition of Rheumatoid Arthritis characterized by Joint swelling in Ayurvedic Disease context.
YO2470,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO8239,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
AY2471,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY13748,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
UN2472,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN6390,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
SI2473,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI8716,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
YO2474,Back Pain Management,Yoga Therapy,"Lumbar Spondylosis,Spine care",TM2-YO4992,Yoga Sutras,A condition of Lumbar Spondylosis characterized by Spine care in Yoga Therapy context.
UN2475,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN8497,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
YO2476,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO11688,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
SI2477,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI12944,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
UN2478,War-e-Kabid,Unani Disease,"Hepatitis,Liver inflammation",TM2-UN8058,Canon of Medicine,A condition of Hepatitis characterized by Liver inflammation in Unani Disease context.
AY2479,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY15041,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
SI2480,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI2203,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
SI2481,NeerizoVu,Siddha Condition,"Diabetes,Sweet urine",TM2-SI9350,Siddha Materia Medica,A condition of Diabetes characterized by Sweet urine in Siddha Condition context.
UN2482,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN17732,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
SI2483,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI6116,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
AY2484,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY9310,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
YO2485,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO4829,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
HO2486,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO10354,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
UN2487,Zof-e-Bah,Unani Disease,"Sexual Debility,Weakness",TM2-UN5385,Canon of Medicine,A condition of Sexual Debility characterized by Weakness in Unani Disease context.
SI2488,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI14750,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
AY2489,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY5215,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
UN2490,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN13615,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
YO2491,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO3829,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
AY2492,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY12598,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
SI2493,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI6906,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
HO2494,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO10055,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
HO2495,Bryonia State,Homeopathic Indication,"Dry Cough,Worse motion",TM2-HO9104,Organon of Medicine,A condition of Dry Cough characterized by Worse motion in Homeopathic Indication context.
AY2496,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY6958,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
UN2497,Ziabetus,Unani Disease,"Diabetes,High blood sugar",TM2-UN4353,Canon of Medicine,A condition of Diabetes characterized by High blood sugar in Unani Disease context.
AY2498,Amlapitta,Ayurvedic Disease,"Dyspepsia,Sour indigestion",TM2-AY2148,Charaka Samhita,Acid dyspepsia characterized by sour belching and heartburn
YO2499,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO7928,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
SI2500,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI14473,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2501,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI5202,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
YO2502,Meditation Focus,Yoga Therapy,"Dhyana,Concentration",TM2-YO10163,Yoga Sutras,A condition of Dhyana characterized by Concentration in Yoga Therapy context.
SI2503,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI11702,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
HO2504,Gelsemium,Homeopathic Indication,"Flu,Dullness",TM2-HO2103,Organon of Medicine,A condition of Flu characterized by Dullness in Homeopathic Indication context.
YO2505,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO8186,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
SI2506,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI14813,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2507,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI11444,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
SI2508,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI14645,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
UN2509,Zof-e-Bah,Unani Disease,"Sexual Debility,Weakness",TM2-UN5598,Canon of Medicine,A condition of Sexual Debility characterized by Weakness in Unani Disease context.
AY2510,Arsha,Ayurvedic Disease,"Hemorrhoids,Piles",TM2-AY3971,Charaka Samhita,A condition of Hemorrhoids characterized by Piles in Ayurvedic Disease context.
AY2511,Hridroga,Ayurvedic Disease,"Heart Disease,Cardiac disorder",TM2-AY8661,Charaka Samhita,A condition of Heart Disease characterized by Cardiac disorder in Ayurvedic Disease context.
AY2512,Apasmara,Ayurvedic Disease,"Epilepsy,Seizures",TM2-AY3256,Charaka Samhita,A condition of Epilepsy characterized by Seizures in Ayurvedic Disease context.
YO2513,Meditation Focus,Yoga Therapy,"Dhyana,Concentration",TM2-YO2765,Yoga Sutras,A condition of Dhyana characterized by Concentration in Yoga Therapy context.
SI2514,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI6666,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
SI2515,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI10070,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
AY2516,Unmada,Ayurvedic Disease,"Insanity,Psychosis",TM2-AY8960,Charaka Samhita,A condition of Insanity characterized by Psychosis in Ayurvedic Disease context.
SI2517,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI4289,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
UN2518,Laqwa,Unani Disease,"Facial Palsy,Face paralysis",TM2-UN5897,Canon of Medicine,A condition of Facial Palsy characterized by Face paralysis in Unani Disease context.
AY2519,Hridroga,Ayurvedic Disease,"Heart Disease,Cardiac disorder",TM2-AY13101,Charaka Samhita,A condition of Heart Disease characterized by Cardiac disorder in Ayurvedic Disease context.
YO2520,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO9466,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
SI2521,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI9008,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
UN2522,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN10015,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
YO2523,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO15218,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
HO2524,Pulsatilla Profile,Homeopathic Indication,"Weepiness,Changeable",TM2-HO2388,Organon of Medicine,A condition of Weepiness characterized by Changeable in Homeopathic Indication context.
AY2525,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY11484,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
AY2526,Grahani,Ayurvedic Disease,"IBS,Digestive disorder",TM2-AY9337,Charaka Samhita,A condition of IBS characterized by Digestive disorder in Ayurvedic Disease context.
HO2527,Silicea Profile,Homeopathic Indication,"Suppuration,Lack of grit",TM2-HO7077,Organon of Medicine,A condition of Suppuration characterized by Lack of grit in Homeopathic Indication context.
